CÓDIGO;Semana;Acumulado;PERIODO
CPAL;202321;4;202390
CPAL;202322;4;202390
CPAL;202323;4;202390
CPAL;202324;4;202390
CPAL;202325;32;202390
CPAL;202326;34;202390
CPAL;202327;35;202390
CPAL;202328;35;202390
CPAL;202329;35;202390
CPAL;202330;35;202390
CPAL;202331;36;202390
CPAL;202332;36;202390
CPAL;202333;37;202390
CPAL;202334;39;202390
CPAL;202335;39;202390
CPAL;202336;39;202390
DCHC;202317;1;202390
DCHC;202318;1;202390
DCHC;202319;1;202390
DCHC;202320;2;202390
DCHC;202321;2;202390
DCHC;202322;2;202390
DCHC;202323;3;202390
DCHC;202324;4;202390
DCHC;202325;5;202390
DCHC;202326;6;202390
DCHC;202327;9;202390
DCHC;202328;10;202390
DCHC;202329;10;202390
DCHC;202330;10;202390
DCHC;202331;10;202390
DCHC;202332;10;202390
DCHC;202333;14;202390
DCHC;202334;16;202390
DCHC;202335;17;202390
DCHC;202336;18;202390
DDIP;202321;1;202390
DDIP;202322;1;202390
DDIP;202323;1;202390
DDIP;202324;1;202390
DDIP;202325;1;202390
DDIP;202326;1;202390
DDIP;202327;1;202390
DDIP;202328;1;202390
DDIP;202329;1;202390
DDIP;202330;1;202390
DDIP;202331;1;202390
DDIP;202332;1;202390
DDIP;202333;1;202390
DDIP;202334;1;202390
DDIP;202335;1;202390
DDIP;202336;2;202390
DGCS;202320;1;202390
DGCS;202321;2;202390
DGCS;202322;7;202390
DGCS;202323;9;202390
DGCS;202324;11;202390
DGCS;202325;14;202390
DGCS;202326;19;202390
DGCS;202327;23;202390
DGCS;202328;34;202390
DGCS;202329;39;202390
DGCS;202330;39;202390
DGCS;202331;39;202390
DGCS;202332;39;202390
DGCS;202333;62;202390
DGCS;202334;64;202390
DGCS;202335;78;202390
DGCS;202336;81;202390
DHDS;202322;1;202390
DHDS;202323;2;202390
DHDS;202324;2;202390
DHDS;202325;4;202390
DHDS;202326;4;202390
DHDS;202327;5;202390
DHDS;202328;6;202390
DHDS;202329;9;202390
DHDS;202330;9;202390
DHDS;202331;9;202390
DHDS;202332;9;202390
DHDS;202333;12;202390
DHDS;202334;12;202390
DHDS;202335;13;202390
DHDS;202336;16;202390
DIPH;202320;2;202390
DIPH;202321;3;202390
DIPH;202322;8;202390
DIPH;202323;10;202390
DIPH;202324;14;202390
DIPH;202325;19;202390
DIPH;202326;19;202390
DIPH;202327;24;202390
DIPH;202328;26;202390
DIPH;202329;27;202390
DIPH;202330;27;202390
DIPH;202331;27;202390
DIPH;202332;27;202390
DIPH;202333;36;202390
DIPH;202334;38;202390
DIPH;202335;44;202390
DIPH;202336;45;202390
DMSM;202318;1;202390
DMSM;202319;2;202390
