CÓDIGO;Acumulado;Semana;PERIODO
DISI;1;15;202290
DKAD;5;15;202290
DMBU;6;15;202290
DMBU;6;15;202290
DMOR;5;15;202290
DMSM;8;15;202290
DMSU;4;15;202290
DMTT;1;15;202290
DNDF;1;15;202290
DNEE;7;15;202290
DNEO;3;15;202290
DNNA;1;15;202290
DOCM;2;15;202290
DODP;1;15;202290
DODP;7;15;202290
DOIA;1;15;202290
DOPI;3;15;202290
DOPI;27;15;202290
DOPS;8;15;202290
DORE;3;15;202290
DPAD;6;15;202290
DPCI;1;15;202290
DPEN;1;15;202290
DPEN;15;15;202290
DPPC;3;15;202290
DPSU;1;15;202290
DPSU;3;15;202290
DRET;2;15;202290
DRNA;2;15;202290
DSAP;1;15;202290
DSAP;10;15;202290
DSCE;2;15;202290
DSCE;1;15;202290
DSCE;1;15;202290
DSFC;7;15;202290
DSMP;4;15;202290
DTMA;2;15;202290
DVMP;3;15;202290
DVMP;2;15;202290
EMCT;1;15;202290
EOCM;4;15;202290
EOEN;1;15;202290
EOEN;10;15;202290
EOIM;1;15;202290
EOIM;4;15;202290
EOIO;1;15;202290
EOIO;10;15;202290
EOOP;8;15;202290
EOOR;6;15;202290
EOPE;8;15;202290
EORO;2;15;202290
EORO;10;15;202290
EORO;1;15;202290
EOTT;2;15;202290
EOTT;4;15;202290
MAGS;1;15;202290
MAGS;6;15;202290
MDAD;1;15;202290
MDAD;1;15;202290
MDAD;10;15;202290
MDDE;2;15;202290
MDDE;5;15;202290
MDGE;2;15;202290
MDPE;5;15;202290
MDRC;9;15;202290
MDTR;10;15;202290
MEDU;4;15;202290
MEMG;6;15;202290
MEPI;4;15;202290
MFIA;2;15;202290
MHGP;3;15;202290
MNPP;1;15;202290
MNPP;3;15;202290
MPSP;1;15;202290
MPSP;5;15;202290
MTEM;1;15;202290
MTEM;6;15;202290
PEIN;1;15;202290
PEOG;2;15;202290
PEOG;12;15;202290
PEOG;1;15;202290
PEPA;2;15;202290
PEPA;2;15;202290
PEPA;8;15;202290
PEPA;1;15;202290
PMEM;10;15;202290
PMEM;3;15;202290
PMEM;1;15;202290
CBPE;8;16;202290
CCOM;2;16;202290
CICS;1;16;202290
CURV;1;16;202290
DAAG;7;16;202290
DAAG;5;16;202290
DAAM;11;16;202290
DCAA;3;16;202290
DCAA;1;16;202290
DCKR;3;16;202290
DCOL;14;16;202290
DCPA;56;16;202290
DCPA;2;16;202290
DCPA;4;16;202290
DCPA;1;16;202290
DDCO;3;16;202290
DDDD;1;16;202290
DDEC;26;16;202290
DDEI;10;16;202290
DDEI;10;16;202290
DDEP;3;16;202290
DDEP;1;16;202290
DDGE;4;16;202290
DDIN;1;16;202290
DDIP;2;16;202290
DDLE;1;16;202290
DDUD;9;16;202290
DDUD;8;16;202290
DECC;3;16;202290
DERA;2;16;202290
DERA;15;16;202290
DERO;22;16;202290
DERO;5;16;202290
DERS;13;16;202290
DERS;2;16;202290
DESP;1;16;202290
DEST;7;16;202290
DEST;1;16;202290
DESU;2;16;202290
DETR;1;16;202290
DEVS;9;16;202290
DFCL;5;16;202290
DFKM;1;16;202290
DFUT;6;16;202290
DGAS;3;16;202290
DGCE;6;16;202290
DGCE;1;16;202290
DGCS;10;16;202290
DGCS;13;16;202290
DGGE;2;16;202290
DGOS;56;16;202290
DHDS;4;16;202290
DIND;1;16;202290
DIND;1;16;202290
DIND;1;16;202290
DIOD;5;16;202290
DIPH;15;16;202290
DIQP;4;16;202290
DIQP;20;16;202290
DIQP;2;16;202290
DISI;1;16;202290
DKAD;6;16;202290
DMBU;9;16;202290
DMBU;13;16;202290
DMCE;1;16;202290
DMOR;6;16;202290
DMSM;12;16;202290
DMSU;5;16;202290
DMTT;2;16;202290
DNDF;4;16;202290
DNEE;18;16;202290
DNEO;3;16;202290
DNNA;1;16;202290
DOCM;2;16;202290
DODP;1;16;202290
DODP;8;16;202290
DOIA;1;16;202290
DOPI;3;16;202290
DOPI;27;16;202290
DOPS;14;16;202290
DORE;3;16;202290
DPAD;6;16;202290
DPCI;2;16;202290
DPEN;1;16;202290
DPEN;15;16;202290
DPPC;3;16;202290
DPSU;1;16;202290
DPSU;5;16;202290
DRET;2;16;202290
DRNA;2;16;202290
DSAP;1;16;202290
DSAP;14;16;202290
DSCE;2;16;202290
DSCE;1;16;202290
DSCE;1;16;202290
DSFC;12;16;202290
DSMP;4;16;202290
DTMA;6;16;202290
DURP;10;16;202290
DVMP;5;16;202290
